"date","reported","nowcast","nowcast_lwr","nowcast_upr"
2021-03-13,34,155,115,210
2021-03-12,73,164,133,207
2021-03-11,122,186,162,219
2021-03-10,117,159,141,182
2021-03-09,133,160,147,176
2021-03-08,145,163,153,175
2021-03-07,123,136,128,146
2021-03-06,111,120,114,128
2021-03-05,121,128,123,135
2021-03-04,116,121,117,127
2021-03-03,133,137,133,142
2021-03-02,130,133,130,137
2021-03-01,138,140,138,144
2021-02-28,118,120,118,123
2021-02-27,93,94,93,97
2021-02-26,95,96,95,99
2021-02-25,97,97,97,100
2021-02-24,90,90,90,92
2021-02-23,99,99,99,101
2021-02-22,99,99,99,99
2021-02-21,82,82,82,82
2021-02-20,66,66,66,66
2021-02-19,77,77,77,77
2021-02-18,86,86,86,86
2021-02-17,74,74,74,74
2021-02-16,68,68,68,68
2021-02-15,74,74,74,74
2021-02-14,63,63,63,63
2021-02-13,65,65,65,65
2021-02-12,73,73,73,73
2021-02-11,64,64,64,64
2021-02-10,69,69,69,69
2021-02-09,87,87,87,87
2021-02-08,74,74,74,74
2021-02-07,71,71,71,71
2021-02-06,70,70,70,70
2021-02-05,97,97,97,97
2021-02-04,90,90,90,90
2021-02-03,99,99,99,99
2021-02-02,97,97,97,97
2021-02-01,86,86,86,86
2021-01-31,80,80,80,80
2021-01-30,85,85,85,85
2021-01-29,98,98,98,98
2021-01-28,131,131,131,131
2021-01-27,125,125,125,125
2021-01-26,124,124,124,124
2021-01-25,132,132,132,132
2021-01-24,128,128,128,128
2021-01-23,101,101,101,101
2021-01-22,120,120,120,120
2021-01-21,123,123,123,123
2021-01-20,168,168,168,168
2021-01-19,168,168,168,168
2021-01-18,188,188,188,188
2021-01-17,168,168,168,168
2021-01-16,168,168,168,168
2021-01-15,174,174,174,174
2021-01-14,189,189,189,189
2021-01-13,232,232,232,232
2021-01-12,259,259,259,259
2021-01-11,252,252,252,252
2021-01-10,238,238,238,238
2021-01-09,239,239,239,239
2021-01-08,288,288,288,288
2021-01-07,320,320,320,320
2021-01-06,338,338,338,338
2021-01-05,370,370,370,370
2021-01-04,339,339,339,339
2021-01-03,306,306,306,306
2021-01-02,313,313,313,313
2021-01-01,291,291,291,291
2020-12-31,280,280,280,280
2020-12-30,301,301,301,301
2020-12-29,371,371,371,371
2020-12-28,416,416,416,416
2020-12-27,353,353,353,353
2020-12-26,319,319,319,319
2020-12-25,333,333,333,333
2020-12-24,293,293,293,293
2020-12-23,342,342,342,342
2020-12-22,347,347,347,347
2020-12-21,361,361,361,361
2020-12-20,341,341,341,341
2020-12-19,361,361,361,361
2020-12-18,458,458,458,458
2020-12-17,468,468,468,468
2020-12-16,513,513,513,513
2020-12-15,578,578,578,578
2020-12-14,598,598,598,598
2020-12-13,561,561,561,561
2020-12-12,553,553,553,553
2020-12-11,537,537,537,537
2020-12-10,499,499,499,499
2020-12-09,495,495,495,495
2020-12-08,505,505,505,505
2020-12-07,540,540,540,540
2020-12-06,482,482,482,482
2020-12-05,485,485,485,485
2020-12-04,451,451,451,451
2020-12-03,479,479,479,479
